window_size,threshold_factor,peak_multiplier,video1_f1,video2_f1,video3_f1,video4_f1,video5_f1,mean_precision,mean_recall,mean_f1
45,4.0,1.5,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.9722222222222223,0.9848484848484849
45,4.0,2.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.9722222222222223,0.9848484848484849
45,3.0,2.0,1.0,0.9523809523809523,1.0,0.8571428571428571,1.0,0.9431818181818182,1.0,0.9682539682539684
30,3.0,3.0,1.0,1.0,1.0,0.8,1.0,1.0,0.9444444444444443,0.9666666666666667
30,4.0,3.0,1.0,1.0,1.0,0.8,1.0,1.0,0.9444444444444443,0.9666666666666667
45,4.0,2.6,1.0,1.0,1.0,0.8,1.0,1.0,0.9444444444444443,0.9666666666666667
45,4.0,3.0,1.0,1.0,1.0,0.8,1.0,1.0,0.9444444444444443,0.9666666666666667
45,3.0,2.6,1.0,1.0,1.0,0.7692307692307692,1.0,0.9523809523809524,0.9722222222222223,0.9615384615384616
45,3.0,3.0,1.0,1.0,1.0,0.7692307692307692,1.0,0.9523809523809524,0.9722222222222223,0.9615384615384616
30,3.0,2.0,1.0,0.9090909090909091,1.0,0.8333333333333334,1.0,0.9444444444444445,0.9722222222222223,0.9570707070707071
30,3.0,2.6,1.0,1.0,1.0,0.7272727272727272,1.0,0.9666666666666667,0.9444444444444443,0.9545454545454545
30,4.0,2.6,1.0,1.0,1.0,0.7272727272727272,1.0,0.9666666666666667,0.9444444444444443,0.9545454545454545
15,4.0,3.0,1.0,0.9523809523809523,1.0,0.7692307692307692,1.0,0.9372294372294373,0.9722222222222223,0.9536019536019537
15,3.0,3.0,1.0,0.9523809523809523,1.0,0.7692307692307692,1.0,0.9372294372294373,0.9722222222222223,0.9536019536019537
30,4.0,2.0,1.0,0.9523809523809523,1.0,0.7272727272727272,1.0,0.9515151515151515,0.9444444444444443,0.9466089466089466
30,3.0,1.5,1.0,0.9090909090909091,1.0,0.7692307692307692,1.0,0.9246031746031745,0.9722222222222223,0.9463869463869464
15,3.0,2.6,1.0,0.9523809523809523,1.0,0.7142857142857143,1.0,0.9223484848484849,0.9722222222222223,0.9444444444444445
15,4.0,2.6,1.0,0.9523809523809523,1.0,0.7142857142857143,1.0,0.9223484848484849,0.9722222222222223,0.9444444444444445
30,4.0,1.5,1.0,0.9523809523809523,1.0,0.6666666666666666,1.0,0.9292929292929294,0.9444444444444443,0.9365079365079364
45,3.0,1.5,1.0,0.9523809523809523,1.0,0.8571428571428571,0.8571428571428571,0.8598484848484849,1.0,0.9206349206349206
30,2.0,3.0,1.0,0.9523809523809523,1.0,0.6666666666666667,1.0,0.869107744107744,0.9722222222222223,0.9126984126984127
30,2.0,2.6,1.0,0.9523809523809523,1.0,0.5882352941176471,1.0,0.8522727272727272,0.9722222222222223,0.899626517273576
15,3.0,2.0,1.0,0.8695652173913044,1.0,0.8,0.8571428571428571,0.8226495726495727,1.0,0.8973084886128363
15,4.0,2.0,1.0,0.9090909090909091,1.0,0.7142857142857143,0.8571428571428571,0.826388888888889,0.9722222222222223,0.8896103896103895
30,2.0,2.0,1.0,0.8333333333333333,1.0,0.631578947368421,1.0,0.820970695970696,1.0,0.8870091896407685
15,2.0,3.0,1.0,0.9523809523809523,1.0,0.625,0.8571428571428571,0.8181818181818182,0.9722222222222223,0.8819444444444443
15,2.0,2.6,1.0,0.9523809523809523,1.0,0.5882352941176471,0.8571428571428571,0.8106060606060606,0.9722222222222223,0.8758169934640523
15,4.0,1.5,1.0,0.9090909090909091,1.0,0.625,0.7499999999999999,0.7555555555555555,0.9722222222222223,0.8390151515151515
30,2.0,1.5,1.0,0.8333333333333333,1.0,0.5454545454545454,0.8571428571428571,0.7398809523809523,1.0,0.8309884559884559
15,2.0,2.0,1.0,0.8695652173913044,1.0,0.6,0.7499999999999999,0.7329670329670329,1.0,0.8282608695652174
45,2.0,3.0,1.0,0.9523809523809523,1.0,0.5882352941176471,0.7499999999999999,0.743939393939394,0.9722222222222223,0.8262138188608777
45,2.0,2.6,1.0,0.9523809523809523,1.0,0.5882352941176471,0.7499999999999999,0.743939393939394,0.9722222222222223,0.8262138188608777
15,3.0,1.5,1.0,0.8695652173913044,1.0,0.7058823529411764,0.6666666666666666,0.7191142191142191,1.0,0.8181301506109692
45,2.0,2.0,1.0,0.8333333333333333,1.0,0.631578947368421,0.7499999999999999,0.7126373626373628,1.0,0.8135964912280702
15,2.0,1.5,1.0,0.8333333333333333,1.0,0.5454545454545454,0.6,0.6488095238095238,1.0,0.754040404040404
45,2.0,1.5,1.0,0.8333333333333333,1.0,0.6,0.5454545454545454,0.6418650793650794,1.0,0.7464646464646464
