video,method,i_frames,bitrate_kbps,size_mb,average_gop_seconds,psnr_db,ssim,decoding_time_seconds,keyframes
Video 1,Fixed GOP,13,3358.894,10.188735961914062,2.0020000000000002,43.171931,0.988145,4.549429366675516,
Video 1,Default x264,5,3065.691,9.302447319030762,4.579575,43.119397,0.988814,4.463750099996105,
Video 1,Adaptive GOP,5,3135.658,9.51392650604248,4.57123325,42.829377,0.98739,4.828029933385551,"[0, 289, 548]"
Video 2,Fixed GOP,25,3186.493,18.83876132965088,2.001388875,42.773381,0.989425,9.988387666720277,
Video 2,Default x264,12,2939.583,17.39065933227539,4.057575727272727,44.061654,0.990656,8.890320933346326,
Video 2,Adaptive GOP,11,2954.501,17.4781436920166,4.46,42.49319,0.988823,9.678267399858063,"[0, 153, 296, 441, 587, 742, 852, 975, 1107, 1200, 1337]"
Video 3,Fixed GOP,11,2320.818,6.1443328857421875,2.0,47.433269,0.993228,3.618157933310916,
Video 3,Default x264,5,2222.416,5.8983917236328125,4.58333325,47.839607,0.993732,3.21226209999683,
Video 3,Adaptive GOP,5,2241.176,5.945281028747559,4.725,47.699449,0.993555,4.047874566555644,"[0, 150, 270, 394, 567]"
Video 4,Fixed GOP,15,2295.211,8.167622566223145,2.0,47.030787,0.99307,3.5573443667187044,
Video 4,Default x264,16,2214.538,7.89676570892334,1.7244444666666667,47.764435,0.993867,4.715428000005583,
Video 4,Adaptive GOP,6,2223.221,7.925898551940918,4.18,47.058073,0.993123,4.397473700034122,"[0, 116, 207, 331, 495, 627]"
Video 5,Fixed GOP,8,2750.7,5.2026166915893555,2.0,45.369536,0.990276,2.5914224666388086,
Video 5,Default x264,4,2634.513,4.983792304992676,3.7444443333333335,45.867875,0.991181,2.1365321667399257,
Video 5,Adaptive GOP,4,2659.524,5.030900001525879,3.733333333333333,45.620157,0.990699,1.9463266999615978,"[0, 93, 175, 336]"
Video 6,Fixed GOP,11,2740.242,6.778895378112793,2.0,45.510854,0.990547,3.40756653334635,
Video 6,Default x264,4,2608.086,6.453366279602051,5.1000000000000005,45.966425,0.991324,3.3923180333028236,
Video 6,Adaptive GOP,4,2623.749,6.491938591003418,5.088889,45.71246,0.990852,3.3005975332732,"[0, 161, 321, 458]"
