video,method,i_frames,bitrate_kbps,size_mb,average_gop_seconds,psnr_db,ssim,decoding_time_seconds,keyframes
Video 1,Fixed GOP,13,3358.894,10.188735961914062,2.0020000000000002,43.171931,0.988145,4.106139166591068,
Video 1,Default x264,5,3065.691,9.302447319030762,4.579575,43.119397,0.988814,4.124054633469011,
Video 1,Adaptive GOP,5,3135.658,9.51392650604248,4.57123325,42.829377,0.98739,4.038266100067024,"[0, 289, 548]"
Video 2,Fixed GOP,25,3186.493,18.83876132965088,2.001388875,42.773381,0.989425,7.2602500332674635,
Video 2,Default x264,12,2939.583,17.39065933227539,4.057575727272727,44.061654,0.990656,6.632335033267736,
Video 2,Adaptive GOP,11,2954.501,17.4781436920166,4.46,42.49319,0.988823,7.368110300041735,"[0, 153, 296, 441, 587, 742, 852, 975, 1107, 1200, 1337]"
Video 3,Fixed GOP,11,2320.818,6.1443328857421875,2.0,47.433269,0.993228,3.396072000032291,
Video 3,Default x264,5,2222.416,5.8983917236328125,4.58333325,47.839607,0.993732,3.3727359666178622,
Video 3,Adaptive GOP,5,2230.346,5.918213844299316,4.725,47.715258,0.99357,3.307484266658624,"[0, 270, 394, 567]"
Video 4,Fixed GOP,15,2295.211,8.167622566223145,2.0,47.030787,0.99307,3.9960566667529442,
Video 4,Default x264,16,2214.538,7.89676570892334,1.7244444666666667,47.764435,0.993867,4.194638599952062,
Video 4,Adaptive GOP,8,2237.606,7.974198341369629,3.4714285714285715,47.060059,0.993121,5.02765806663471,"[0, 53, 116, 207, 331, 495, 627, 729]"
Video 5,Fixed GOP,8,2750.7,5.2026166915893555,2.0,45.369536,0.990276,2.771512933385869,
Video 5,Default x264,4,2634.513,4.983792304992676,3.7444443333333335,45.867875,0.991181,2.2777559666428715,
Video 5,Adaptive GOP,4,2659.524,5.030900001525879,3.733333333333333,45.620157,0.990699,2.912002766660104,"[0, 93, 175, 336]"
Video 6,Fixed GOP,11,2740.242,6.778895378112793,2.0,45.510854,0.990547,3.5714286332949996,
Video 6,Default x264,4,2608.086,6.453366279602051,5.1000000000000005,45.966425,0.991324,3.448430500070875,
Video 6,Adaptive GOP,4,2623.749,6.491938591003418,5.088889,45.71246,0.990852,3.350373166690891,"[0, 161, 321, 458]"
